do_jump_id,command,command_name,latitude,longitude,altitude_m,speed_mps,spray_on
68,16,WAYPOINT_TURN,54.1762816376,12.3109493343,10.0,3.5,False
69,16,WAYPOINT_SPRAY,54.1763091172,12.3121796413,10.0,3.5,False
70,16,WAYPOINT_TURN,54.1763211454,12.3121747453,10.0,3.5,False
71,16,WAYPOINT_SPRAY,54.1762938203,12.3109513533,10.0,3.5,False
72,16,WAYPOINT_TURN,54.1763059547,12.3109512125,10.0,3.5,False
73,16,WAYPOINT_SPRAY,54.1763331736,12.3121698493,10.0,3.5,False
74,16,WAYPOINT_TURN,54.1763452018,12.3121649533,10.0,3.5,False
75,16,WAYPOINT_SPRAY,54.1763179763,12.3109460226,10.0,3.5,False
76,16,WAYPOINT_TURN,54.1763299979,12.3109408328,10.0,3.5,False
77,16,WAYPOINT_SPRAY,54.1763572301,12.3121600573,10.0,3.5,False
78,16,WAYPOINT_TURN,54.1763692583,12.3121551613,10.0,3.5,False
79,16,WAYPOINT_SPRAY,54.1763420194,12.310935643,10.0,3.5,False
80,16,WAYPOINT_TURN,54.1763541658,12.3109360376,10.0,3.5,False
81,16,WAYPOINT_SPRAY,54.1763812865,12.3121502653,10.0,3.5,False
82,16,WAYPOINT_TURN,54.1763933147,12.3121453693,10.0,3.5,False
83,16,WAYPOINT_SPRAY,54.1763666494,12.3109515288,10.0,3.5,False
84,16,WAYPOINT_TURN,54.176379133,12.31096702,10.0,3.5,False
85,16,WAYPOINT_SPRAY,54.1764053429,12.3121404732,10.0,3.5,False
86,16,WAYPOINT_TURN,54.1764173711,12.3121355772,10.0,3.5,False
87,16,WAYPOINT_SPRAY,54.1763916167,12.3109825112,10.0,3.5,False
88,16,WAYPOINT_TURN,54.1764041003,12.3109980025,10.0,3.5,False
89,16,WAYPOINT_SPRAY,54.1764293993,12.3121306812,10.0,3.5,False
90,16,WAYPOINT_TURN,54.1764414275,12.3121257852,10.0,3.5,False
